Czas [s],P1[kPa],P2[[kPa],T[C],F[m^3/h],CV[%],X[%],PV[%]
0,665.6899,342.8571,96.71551,350.4274,35.50672,34.82296,48.84005
1,654.2125,344.0781,96.76435,350.9158,34.60318,34.70086,49.15751
2,652.2589,347.4969,96.76435,357.3871,35.01832,34.31013,49.20635
3,651.2821,349.939,96.71551,358.9744,35.26252,34.26129,49.79243
4,654.2125,347.2527,96.76435,359.5849,36.0928,33.40659,49.98779
5,662.5153,341.8803,96.73993,356.8987,36.0928,35.116,49.67033
6,660.5617,341.3919,96.76435,353.4799,36.04396,35.57998,49.67033
7,663.7363,333.3333,96.71551,352.5031,35.8486,34.84738,49.30403
8,664.7131,342.1245,96.71551,351.8926,35.40904,33.84615,49.45055
9,656.1661,344.5665,96.73993,352.5031,35.14042,34.70086,48.76679
10,653.7241,350.1832,96.76435,356.044,34.60318,34.89622,49.20635
11,644.6886,346.5201,96.73993,357.6313,34.94506,33.82173,48.79121
12,648.84,348.9621,96.73993,359.4628,34.5055,33.35775,49.20635
13,648.84,354.823,96.73993,360.0733,35.14042,33.99267,49.10867
14,655.1893,345.7875,96.71551,360.1954,34.72528,34.40781,49.42613
15,649.8169,347.2527,96.73993,360.0733,35.43346,33.35775,49.20635
16,654.7009,341.1477,96.73993,359.9512,34.84738,33.18681,49.49939
17,653.9683,348.4737,96.73993,358.9744,35.75092,33.65079,49.81685
18,657.8755,336.9963,96.71551,358.6081,35.70208,33.82173,49.64591
19,654.9451,338.2173,96.71551,356.8987,35.89744,34.79854,49.76801
20,662.0269,337.4847,96.76435,354.9451,35.89744,34.5055,49.42613
21,663.4921,331.8681,96.73993,353.4799,35.55556,34.26129,49.79243
22,663.9805,342.1245,96.71551,352.6252,35.82418,35.57998,49.25519
23,664.2247,339.1941,96.71551,352.1368,35.26252,34.79854,49.59707
24,655.1893,343.1013,96.71551,352.381,35.43346,35.01832,49.05983
25,655.1893,347.0085,96.73993,354.0904,34.79854,34.60318,49.54823
26,651.5263,346.5201,96.73993,356.5324,35.75092,33.72405,49.47497
27,652.0147,353.1136,96.76435,358.6081,35.3602,34.28571,49.81685
28,663.0037,344.0781,96.73993,358.8523,36.04396,34.13919,49.35287
29,663.0037,331.1355,96.69109,355.5556,35.14042,35.43346,49.37729
30,656.4103,329.1819,96.71551,354.5788,35.53114,35.01832,49.64591
31,658.3639,334.0659,96.69109,354.9451,35.70208,34.8718,49.71917
32,656.1661,337.7289,96.69109,355.3114,36.14164,34.43223,49.93895
33,664.4689,326.4957,96.69109,353.9683,36.16606,35.21368,49.57265
34,668.8645,339.1941,96.69109,351.16,35.65324,35.55556,49.67033
35,663.2479,336.7521,96.69109,350.4274,35.70208,35.14042,49.25519
36,654.7009,345.5433,96.69109,351.6484,35.31136,35.116,49.89011
37,656.8987,344.5665,96.69109,355.6777,36.04396,34.5055,49.81685
38,660.8059,332.1123,96.71551,356.044,36.04396,35.04274,50.01221
39,666.1783,331.1355,96.71551,352.7473,36.19048,35.40904,49.23077
40,666.6667,329.1819,96.69109,351.2821,35.09158,35.40904,49.45055
41,663.2479,336.7521,96.69109,350.5495,35.6044,35.3602,49.49939
42,658.1197,343.1013,96.66667,351.7705,35.6044,35.14042,49.89011
43,657.3871,344.3223,96.69109,354.0904,36.23932,34.60318,50.06105
44,665.2015,331.8681,96.69109,354.5788,36.53236,35.04274,50.03663
45,668.8645,330.1587,96.66667,351.0379,36.4591,35.87302,50.01221
46,672.2833,331.1355,96.69109,348.1074,36.337,35.92186,49.64591
47,667.8877,336.9963,96.69109,346.1538,36.01954,35.2381,50.18315
48,663.2479,336.9963,96.71551,347.4969,36.72772,35.33578,50.06105
49,669.1087,331.1355,96.69109,348.84,36.55678,35.50672,50.30525
50,673.2601,326.2515,96.69109,348.4737,36.60562,35.9707,49.27961
51,670.8181,334.5543,96.69109,346.2759,35.28694,36.0928,49.40171
52,666.6667,342.1245,96.71551,346.1538,35.55556,35.77534,48.88889
53,658.6081,344.5665,96.69109,348.9621,34.79854,34.84738,49.45055
54,655.1893,346.0317,96.71551,353.9683,35.65324,34.48107,49.49939
55,660.5617,342.8571,96.69109,355.3114,35.55556,34.43223,49.84127
56,663.4921,338.9499,96.71551,354.9451,36.28816,35.04274,49.84127
57,668.3761,335.0427,96.69109,351.8926,35.9707,35.6044,49.45055
58,664.9573,328.4493,96.69109,350.1832,35.82418,35.50672,49.62149
59,660.5617,338.4615,96.71551,350.0611,35.89744,35.38462,49.37729
60,660.0733,338.9499,96.69109,351.0379,35.6044,35.53114,49.59707
61,656.8987,344.0781,96.73993,352.8694,35.75092,34.82296,49.15751
62,658.6081,343.5897,96.69109,353.9683,35.21368,34.21245,49.52381
63,658.8523,341.3919,96.69109,354.2125,35.70208,34.94506,49.15751
64,656.4103,344.5665,96.69109,355.0672,35.16484,34.65202,49.30403
65,654.2125,345.5433,96.71551,355.1893,35.38462,34.35897,48.84005
66,656.4103,350.9158,96.69109,356.044,34.65202,34.52992,49.47497
67,650.7937,350.1832,96.69109,357.5092,35.55556,34.18803,49.40171
68,655.4335,349.2063,96.71551,358.9744,35.38462,34.28571,49.79243
69,659.3407,339.1941,96.69109,357.9976,36.2149,34.48107,50.06105
70,670.8181,334.0659,96.66667,353.7241,36.50794,35.16484,50.18315
71,670.8181,331.8681,96.69109,349.8169,36.80098,36.16606,50.01221
72,670.0855,334.5543,96.71551,345.9096,36.36142,36.0928,49.57265
73,664.9573,330.8913,96.71551,345.177,35.79976,35.89744,49.96337
74,663.4921,335.5311,96.69109,346.398,36.43468,35.45788,49.52381
75,663.0037,336.2637,96.71551,347.3748,35.8486,35.50672,49.57265
76,662.0269,337.7289,96.71551,348.4737,35.89744,35.40904,48.93773
77,656.1661,337.9731,96.71551,350.3053,34.79854,34.7497,49.27961
78,651.2821,345.7875,96.69109,354.9451,35.31136,34.26129,48.79121
79,651.5263,344.3223,96.71551,357.265,34.70086,34.48107,49.35287
80,649.8169,344.3223,96.73993,357.9976,35.65324,34.09035,49.23077
81,656.1661,338.7057,96.71551,358.7302,35.33578,34.65202,49.45055
82,657.1429,341.8803,96.71551,357.7534,35.65324,34.79854,49.01099
83,660.5617,339.1941,96.73993,356.5324,34.8718,35.06716,48.76679
84,653.2357,346.5201,96.71551,355.9219,34.70086,34.96948,49.08425
85,652.7473,349.4505,96.71551,357.6313,35.04274,34.18803,49.03541
86,652.2589,341.6361,96.71551,360.0733,35.06716,33.89499,49.20635
87,652.2589,340.9035,96.71551,360.1954,35.26252,34.09035,48.91331
88,654.2125,343.3455,96.69109,359.0965,34.84738,34.40781,49.47497
89,653.9683,338.2173,96.69109,358.2418,35.70208,34.55434,49.18193
90,656.6545,339.1941,96.73993,357.6313,35.26252,35.04274,49.59707
91,657.1429,341.1477,96.66667,357.0208,35.89744,34.79854,49.20635
92,657.3871,335.2869,96.71551,355.1893,35.21368,35.14042,49.59707
